wikidata_id,label_en,label_sv,category
Q258806,Hjortsberga,Hjortsberga,Administrative_Entity
Q259046,Gällivare,Gällivare,Administrative_Entity
Q919693,Slottsskogen,Slottsskogen,Administrative_Entity
Q923113,Broby,Broby,Administrative_Entity
Q924378,Ytterhogdal,Ytterhogdal,Administrative_Entity
Q924504,Marieby,Marieby,Administrative_Entity
Q925183,Sonstorp,Sonstorp,Administrative_Entity
Q612314,Norrfjärden,Norrfjärden,Administrative_Entity
Q614210,Bröttjärna,Bröttjärna,Administrative_Entity
Q616561,Kåge,Kåge,Administrative_Entity
Q626045,Halland,Halland,Administrative_Entity
Q1011053,Rökå,Rökå,Administrative_Entity
Q1011674,Djurås,Djurås,Administrative_Entity
Q1011739,Sälen,Sälen,Administrative_Entity
Q1011837,Gustavsberg,Gustavsberg,Administrative_Entity
Q644455,Rya,Rya,Administrative_Entity
Q645351,Kramfors,Kramfors,Administrative_Entity
Q648536,Simrishamn,Simrishamn,Administrative_Entity
Q2374380,Trånghalla,Trånghalla,Administrative_Entity
Q2374644,Holmeja,Holmeja,Administrative_Entity
Q2376187,Ljungbyholm,Ljungbyholm,Administrative_Entity
Q2376371,Delary,Delary,Administrative_Entity
Q2376437,Edane,Edane,Administrative_Entity
Q2377746,Timmersdala,Timmersdala,Administrative_Entity
Q569960,Hamra National Park,Hamra nationalpark,Administrative_Entity
Q1017607,Kisa,Kisa,Administrative_Entity
Q1018412,Gnarp,Gnarp,Administrative_Entity
Q1018421,Porjus,Porjus,Administrative_Entity
Q5638527,Hagalund,Hagalund,Administrative_Entity
Q5701256,Hejdegården,Hejdegården,Administrative_Entity
Q5744230,Herrskogen,Herrskogen,Administrative_Entity
Q5818807,Tye,Tye,Administrative_Entity
Q5873286,Hjulsbro,Hjulsbro,Administrative_Entity
Q5901961,Trångforsen och Heden,Trångfors,Administrative_Entity
Q5936345,Hulta,Hulta,Administrative_Entity
Q6060183,Inverness,Inverness,Administrative_Entity
Q6319900,Jägarvallen,Jägarvallen,Administrative_Entity
Q6320860,Majorna,Majorna,Administrative_Entity
Q6333445,Oxberg,Oxberg,Administrative_Entity
Q6353662,Kallebäck,Kallebäck,Administrative_Entity
Q6382621,Trollbäcken,Trollbäcken,Administrative_Entity
Q6382776,Vendelsö,Vendelsö,Administrative_Entity
Q940812,Åshammar,Åshammar,Administrative_Entity
Q945780,Sarek National Park,Sarek national park,Administrative_Entity
Q945857,Vika,Vika,Administrative_Entity
Q630648,Laxvik,Laxvik,Administrative_Entity
Q632092,Bollebygd,Bollebygd,Administrative_Entity
Q632102,Mala,Mala,Administrative_Entity
Q634231,Vimmerby,Vimmerby,Administrative_Entity
Q1021161,Deje,Deje,Administrative_Entity
Q1021165,Vollsjö,Vollsjö,Administrative_Entity
Q1021169,Forsbacka,Forsbacka,Administrative_Entity
Q1021324,Föllinge,Föllinge,Administrative_Entity
Q1021330,Trångsviken,Trångsviken,Administrative_Entity
Q1021335,Häggenås,Häggenås,Administrative_Entity
Q266387,Färna,Färna,Administrative_Entity
Q266784,Skattungbyn,Skattungbyn,Administrative_Entity
Q270811,Åby,Åby,Administrative_Entity
Q270945,Åkers styckebruk,Åkers styckebruk,Administrative_Entity
Q271002,Ålem,Ålem,Administrative_Entity
Q1019560,Hallstahammar,Hallstahammar,Administrative_Entity
Q1019575,Ljusdal,Ljusdal,Administrative_Entity
Q1019572,Oskarström,Oskarström,Administrative_Entity
Q1018462,Sösdala,Sösdala,Administrative_Entity
Q1018460,Nödinge-Nol,Nödinge-Nol,Administrative_Entity
Q1018719,Kopparberg,Kopparberg,Administrative_Entity
Q1018739,Klippan,Klippan,Administrative_Entity
Q2343429,Djurmo,Djurmo,Administrative_Entity
Q2343583,Trädet,Trädet,Administrative_Entity
Q2345209,Tuna,Tuna,Administrative_Entity
Q2346178,Ormanäs och Stanstorp,Ormanäs och Stanstorp,Administrative_Entity
Q2347541,Västra Hagen,Västra Hagen,Administrative_Entity
Q2348047,Norra Lagnö,Norra Lagnö,Administrative_Entity
Q926368,Bergsäng,Bergsäng,Administrative_Entity
Q927096,Bromölla,Bromölla,Administrative_Entity
Q928603,Vallsta,Vallsta,Administrative_Entity
Q930238,Nybro,Nybro,Administrative_Entity
Q1019578,Hackås,Hackås,Administrative_Entity
Q1019584,Håverud,Håverud,Administrative_Entity
Q1019930,Ellös,Ellös,Administrative_Entity
Q1019935,Uddheden,Uddheden,Administrative_Entity
Q1019979,Alsike,Alsike,Administrative_Entity
Q1020133,Gunnarskog,Gunnarskog,Administrative_Entity
Q640485,Djurö National Park,Djurö,Administrative_Entity
Q642080,Tensta,Tensta,Administrative_Entity
Q642964,Hudiksvall,Hudiksvall,Administrative_Entity
Q1022428,Hällnäs,Hällnäs,Administrative_Entity
Q1022436,Lögdeå,Lögdeå,Administrative_Entity
Q1022440,Söråker,Söråker,Administrative_Entity
Q1022452,Västra Bispgården,Västra Bispgården,Administrative_Entity
Q1024656,Kil,Kil,Administrative_Entity
Q1016368,Nås,Nås,Administrative_Entity
Q1016373,Rengsjö,Rengsjö,Administrative_Entity
Q1016379,Lilla Harrie,Lilla Harrie,Administrative_Entity
Q1016384,Teckomatorp,Teckomatorp,Administrative_Entity
Q1016705,Torsås,Torsås,Administrative_Entity
Q2337966,Vallberga,Vallberga,Administrative_Entity
Q2338168,Smålandsstenar,Smålandsstenar,Administrative_Entity
Q2339275,Djupekås,Djupekås,Administrative_Entity
Q2339533,Gysinge,Gysinge,Administrative_Entity
Q2340461,Skånes-Fagerhult,Skånes-Fagerhult,Administrative_Entity
Q2342502,Mellösa,Mellösa,Administrative_Entity
Q1016338,Vislanda,Vislanda,Administrative_Entity
Q1016345,Grillby,Grillby,Administrative_Entity
Q1016351,Silverdalen,Silverdalen,Administrative_Entity
Q1016358,Kånna,Kånna,Administrative_Entity
Q1016365,Vittaryd,Vittaryd,Administrative_Entity
Q7862142,Täby kyrkby,Täby kyrkby,Administrative_Entity
Q7879210,Ullstämma,Ullstämma,Administrative_Entity
Q7880735,Ultuna,Ultuna,Administrative_Entity
Q7881464,Umedalen,Umedalen,Administrative_Entity
Q7916392,Vasastaden,Vasastaden,Administrative_Entity
Q7917894,Veda och Mörtsal,Veda,Administrative_Entity
Q7928096,Vidingsjö,Vidingsjö,Administrative_Entity
Q7928879,Viggbyholm,Viggbyholm,Administrative_Entity
Q7942378,Voxna,Voxna,Administrative_Entity
Q7944369,Värpinge,Värpinge,Administrative_Entity
Q7944375,Väsa,Väsa,Administrative_Entity
Q7944401,Västerslätt,Västerslätt,Administrative_Entity
Q7944445,Västra Innerstaden,Västra Innerstaden,Administrative_Entity
Q8077164,Ålidbacken,Tunnelbacken,Administrative_Entity
Q260451,Sjödiken,Sjödiken,Administrative_Entity
Q260609,Övertorneå,Övertorneå,Administrative_Entity
Q261808,Storå,Storå,Administrative_Entity
Q2360433,Älgarås,Älgarås,Administrative_Entity
Q2361110,Nyliden,Nyliden,Administrative_Entity
